Transcript of https://www.youtube.com/watch?v=bmbL3YdInYg

0:1010 sec      [mūzika]
1:36:231 hour, 36 minutes, 23 sec      Jā, ir ieslēgts. Jā, jā. Liels paldies. Es teikšu tā, nu, ir, ir kaut kādas lietas, kas noteikti iet
1:36:301 hour, 36 minutes, 30 sec      vieglāk valstīm ieviest, izdarīt. Īpaši, teiksim, nu, ja viņš saskan absolūti ar to, ko mēs jau esam, kā saka, aizsākuši,
1:36:391 hour, 36 minutes, 39 sec      nu, piemēram, birokrātijas mazināšana būvniecībā īstenībā arī atbild, piemēram, tai skaitā uz to jautājumu par
1:36:461 hour, 36 minutes, 46 sec      kā nodrošināt to, ka valsts pārvaldes institūcijas sadarbojā. Nu, šis būvniecības nulles cikls, kas mums šobrīd iet arī Saeimā jau kā pēdējie grozījumi.
1:36:571 hour, 36 minutes, 57 sec      Šīs ir tādas foršas lietas, kuri, kur tu uzreiz saproti, ka tev ir vairāk par vienu motivācija, kā tikai rekomendācija
1:37:031 hour, 37 minutes, 3 sec      jeb tās tās praktiskās lietas, kas tevi pavelk līdzi. Nu, līdzīgi arī ar visām šīm
1:37:101 hour, 37 minutes, 10 sec      zaļajām tehnoloģijām un un to ieviešanu, jo pašas par sevi, ja, ja, ja, ja paprasīs cilvēkam uz ielas, vai tu esi
1:37:171 hour, 37 minutes, 17 sec      kaut kam tādam gatavs. Nu, man liekas, Latvijā statistika saka, kad, nu, īsti neviens nevēlā un nav nekādas motivācijas. Bet tajā brīdī, kad,
1:37:261 hour, 37 minutes, 26 sec      piemēram, mums bija šī sinhronizācijas jautājums aktuāls, pamatuzdevums ir kas? Mūsu valsts
1:37:331 hour, 37 minutes, 33 sec      drošība. un kā mēs paši varam sevi aizsargāt. Un tur savukārt šo zaļo tehnoloģiju ieviešanu nostrādāja ļoti
1:37:401 hour, 37 minutes, 40 sec      labi. Mēs esam gan energo pašpietiekami elektroenerģijā, gan arī ir šīs zaļās enerģijas
1:37:501 hour, 37 minutes, 50 sec      ģenerācija. Nu, mēs varam lepoties Eiropas kontekstā, mēs varam lepoties pasaules kontekstā ar to, bet mērķis jau
1:37:581 hour, 37 minutes, 58 sec      pats par sevi nebija CO2 emisiju samazināšana. Mērķis bija nodrošināt to, kad Latvija un Baltijas reģions kopumā
1:38:061 hour, 38 minutes, 6 sec      ir pašpietiekams un var strādāt sinhronizēti ar Eiropu, var nodrošināt sevi arī, tai skaitā salas režīmā. Nu,
1:38:151 hour, 38 minutes, 15 sec      šādas papildus politikas lietas, kuras izveido to, tā teikt, sakabi,
1:38:221 hour, 38 minutes, 22 sec      viņas ļoti labi palīdz, teiksim, mums arī gan pārņemt šīs rekomendācijas, gan dzīvē arī sabiedrībai pateikt, jā, no tā
1:38:301 hour, 38 minutes, 30 sec      palika visiem labāk, palika lētāk, palika drošāk. Nu, vienkārši vēlos vērsties pie jums, jo skaidrs, ka
1:38:381 hour, 38 minutes, 38 sec      visiem šiem lēmumiem ir jānotiek tādā arī fiskālās fiskālā realitātē, kas mums arī ir. Un, nu, OCD pārskatā tur
1:38:471 hour, 38 minutes, 47 sec      skaidrs, ir vairāki lēmums priekšu jāpieņem, modifikācijas ir jāveic. Kas, kas ir no tiem visiem ieteikumiem tas, ko jūs gribat izcelt kā, kā būtiskākos
1:38:571 hour, 38 minutes, 57 sec      un kas varbūt ir tie nepopulārie lēmumi, kas mums varētu būt jāpieņem tuvākajā laikā?
1:39:041 hour, 39 minutes, 4 sec      Jā. Nu, tātad, ko tad tas ziņojums attiecībā uz izdevumiem
1:39:121 hour, 39 minutes, 12 sec      un ieņēmumiem pasaka? Viņš pasaka, ka principā izdevumi aug, un ar ieņēmumiem
1:39:201 hour, 39 minutes, 20 sec      mēs netiekam šiem izdevumiem līdzi. Un, ja mēs paskatāmies iepriekšējo pirms diviem gadiem, tur valoda nebija tik stingra.
1:39:291 hour, 39 minutes, 29 sec      Respektīvi, šeit nav atkārtojums no viena uz otru. Un, un, un maz kas izdarīts, bet tā ir, ir jauninājums, jo
1:39:381 hour, 39 minutes, 38 sec      mums deficīts aug, mums parāds aug, ja, mēs varam izskaidrot iemeslus, kāpēc tas notiek, bet
1:39:461 hour, 39 minutes, 46 sec      manā lasījumā šis ziņojumā pietiekami skaidri parāda, kad veidojas nesabalansētība
1:39:531 hour, 39 minutes, 53 sec      starp to, cik mēs varam ar nodokļiem iekasēt un kas mums ir nepieciešams. Es pat neteiktu, ko mēs vēlamies, bet kas
1:40:011 hour, 40 minutes, 1 secondmums ir nepieciešams finansēt. Uz atbildi, a, kas tad mums ir nepieciešams finansēt? Ziņojums parāda dažas
1:40:091 hour, 40 minutes, 9 sec      būtiskākās lietas. Pirmais, tas ir aizsardzība.
1:40:141 hour, 40 minutes, 14 sec      Otraiz, tas ir nabadzības mazināšana, respektīvi, pensiju sistēma, kur tur ir dažas bildītes, kas ļoti skaidri parāda,
1:40:221 hour, 40 minutes, 22 sec      ka cilvēkiem virs 65 gadiem apmēram
1:40:291 hour, 40 minutes, 29 sec      tur bija tuvu 80% tiem, kuriem ienākumi ir 50% no mediānas
1:40:371 hour, 40 minutes, 37 sec      no darba algas. nozīmē relatīvi salīdzinot to, ko, ko cilvēki nopelna
1:40:451 hour, 40 minutes, 45 sec      darba stāžā, pensionāriem tie ieņēmumi ļoti zemi. Respektīvi, šis ir, šis ir nabadzības rādītājs, kur mēs esam, nu,
1:40:531 hour, 40 minutes, 53 sec      tiešām ekstrēmā situācijā. Nu, var paskatīties citu ciparu, tas ir, cik tad aizejot pensijā no tā, ko saņemam, cik
1:41:021 hour, 41 minutes, 2 sec      mums samazinās, ir valsts, kur tas ir tuvu pie 80%, kas saglabājā. Nu, tā nauda, ko nu tad mums tie ir kaut kur ap 40%.
1:41:131 hour, 41 minutes, 13 sec      Jā, lietuviešiem ir 20, tā kā mēs ne vienmēr esam paši sliktākie, bet es gribētu tātad bez aizsardzības uzsvērt
1:41:201 hour, 41 minutes, 20 sec      šo jautājumu. Nu, un tas, ka šeit patiesībā šajā panelī ir tāds tematiskā virziena, tā ir
1:41:281 hour, 41 minutes, 28 sec      veselība, kur tas finansējums ir zems, un tam ir gan ētiski un dzīves kvalitātes aspekti,
1:41:361 hour, 41 minutes, 36 sec      gan tīri ekonomiskas darba vietas un, un, un, un, un darbaspēka jautājums. Manuprāt, tie ir trīs lielie bloki.
1:41:461 hour, 41 minutes, 46 sec      Protams, var minēt arī izglītību, ieguldījumu zinātne attīstībā un tā tālāk. Un jā, un es aizmirsu vēl vienu lietu pateikt, klimata pārmaiņas.
1:41:561 hour, 41 minutes, 56 sec      Bet ar klimata pārmaiņām es tā kā mazāk satrauktos, es gribētu teikt, bet nekur jau nav teikts, ka tai jābūt publiskai
1:42:051 hour, 42 minutes, 5 sec      naudai. Mums ir jābūt sistēmai, kas ļauj pašiem privātajā sektorā strādājošiem
1:42:121 hour, 42 minutes, 12 sec      uzņēmumiem ieviest šīs lietas. Tā kā tur mazāk, bet aizsardzība, pensiju sistēma un veselība, manuprāt, ir tās trīs lietas.
1:42:231 hour, 42 minutes, 23 sec      Ja man ir laiks, jautājums, nu, un tad ko darīt un kā tad sabalansēt? Es varu par to, bet es nezinu, varbūt es gribēju paturpināt, ka starp rindām
1:42:311 hour, 42 minutes, 31 sec      arī ziņojumā es lasīju, ka, nu, līdzekļi ir tik, cik ir. Mums ir jābūt efektīvākiem. Tāds, man šķiet, ka bija viens no tiem apakšvēstījumiem. Mums ir efektīvāk jāizmanto tie līdzekļi, kas
1:42:401 hour, 42 minutes, 40 sec      mums ir, kur ir kāds, kur to jostu savilkt.
1:42:441 hour, 42 minutes, 44 sec      Mēs varam uz jautājumu par budžetu. Mēs redzam, ir šī nesabalansētība. Tagad mēs varam uz to paskatīties īstermiņa
1:42:521 hour, 42 minutes, 52 sec      nesabalansētību un ilgtermiņa. Īstermiņā tas, kas mums ir jāizdara jau šogad nākamā valdība, kad būs izveidota pēc
1:43:001 hour, 43 minutesSaeimas vēlēšanām, mums vajag sabalansēt budžetu līdz 30. gadam. Un tur tā negatīvā telpa 27. gadā ir 150, pēc tam ap 200 miljoniem un pēc tam apjoniem.
1:43:151 hour, 43 minutes, 15 sec      Tās ir milzīgas summas, un es nedomāju, ka dažneša laikā mēs varam kaut ko tā
1:43:211 hour, 43 minutes, 21 sec      efektivizēt, lai šādu te robu aizpildītu.
1:43:261 hour, 43 minutes, 26 sec      Ē, es nemaz nerunāju par jaunām politikas iniciatīvām, kas varētu būt tā kā teju,
1:43:341 hour, 43 minutes, 34 sec      ka būs kaut kāds līdzsvars starp ieņēmumu pasākumiem, respektīvi, ieņēmumu palielinā, es nesaku nodokļus
1:43:421 hour, 43 minutes, 42 sec      palielināt, mēs varam efektīvāk, mēs varam bāzi palielināt, mēs varam atlaidi samazināt, bet noteikti būtu jāpalielina ienākumi un jāsamazina izdevumi.
1:43:541 hour, 43 minutes, 54 sec      vai to varēs izdarīt tikai, tā teikt, uz sliktajiem ierēdņiem, kas par daudz
1:44:001 hour, 44 minutesstrādā, un viss. Es šaubos, jo tās summas ir pietiekami lielas, ja. 27., 28. to varbūt var vēl izdarīt, tad 30.
1:44:101 hour, 44 minutes, 10 sec      gadā es to tādu variantu neredzu. Tā kā tur būs jāpieņem sāpīgi lēmumi, bet ko es gribēju teikt, tie ir īstermiņa lēmumi, kas jāpieņem būs šī gada rudenī.
1:44:201 hour, 44 minutes, 20 sec      Savukārt ilgtermiņā mēs skatāmies, un arī ziņojumā tas skaidri ir parādīts, ka viens veids, kā mēs varam, teiksim, šo
1:44:281 hour, 44 minutes, 28 sec      sabalansētību uzlabot, ir iekšzemes kopprodukta stiprināšana, jo ne jau tas procents no IKP ir svarīgi, bet tā
1:44:361 hour, 44 minutes, 36 sec      naudas vērtība, ko mēs attiecīgajā nozarē ieguldām. Un, ja mums ir labāka iekšzemes kopprodukta izaugsme, bet tas
1:44:451 hour, 44 minutes, 45 sec      nozīmē strukturālās reformas, tad, protams, tas dod, bet tas ir ilgtermiņa jautājums. Tas neatrisina, neatrisina nepieciešamību veidot vidēja termiņa ietvaru jau šī gada rudenī.
1:44:561 hour, 44 minutes, 56 sec      Robert, lūdzu.
1:45:211 hour, 45 minutes, 21 sec      defter defenditure health expenditure needs increase
1:45:281 hour, 45 minutes, 28 sec      pensions mentioned froms so everybody has to contribute fair share to this to
1:45:351 hour, 45 minutes, 35 sec      this public good that the improvement of the public good that is needed and we emphasize the recommendation to
1:45:421 hour, 45 minutes, 42 sec      introduce a mandatory declaration of personal income taxes Latvia in other countries to really
1:45:511 hour, 45 minutes, 51 sec      improve compliance with with tax regulations and the other thing is evoicing like to makeing mandatory but
1:45:591 hour, 45 minutes, 59 sec      it also requires like improving spending efficiency in the working of the public sector so if people see and know that
1:46:061 hour, 46 minutes, 6 sec      the money is used well and things are working well they are also like inclined to pay more taxes jai var piespēlēt
1:46:141 hour, 46 minutes, 14 sec      tālāk mums ir vēlēšanu gads vai vispār nepopulāri lēmum uz galda nonāk šogad es laikam redzu, kad tu skatījies, ka es
1:46:221 hour, 46 minutes, 22 sec      daudz pierakstu, jo īstenībā zini kā, nu viens ir jautājums, vai un kā mēs skatāmies uz šo
1:46:301 hour, 46 minutes, 30 sec      samazināšanas sadaļu jeb ietaupīšanas sadaļu. Nu, bija šie labie piemēri par šo birokrātijas mazināšanu. Atmetam visu to, kas ir mūsu tās foršās ekstras, kur
1:46:391 hour, 46 minutes, 39 sec      mēs esam pieraduši, kā saka, ka tas mums Latvijā tiek darīts. Nu, tas ir tas, ko mēs gan būvniecībā izdarījām, gan, gan
1:46:471 hour, 46 minutes, 47 sec      citos sektoros darām, jo tas atbildēs uzreiz uz diviem jautājumiem. Tātad, pirmais būs, vai tiešām valsts pārvaldei
1:46:551 hour, 46 minutes, 55 sec      nepie centrālajā aparātā ir nepieciešami tiešām tik daudz cilvēki? Nu, datos citi rādās, kad var labāk, var efektīvāk. Ē, otrs, tātad tas būs ietaupījums.
1:47:071 hour, 47 minutes, 7 sec      Trešais, tas dos pamatu un, godīgi sakot, vismazāk rūgtajām zālēm, un vismazāk rūktās zāles ir izaugsme.
1:47:161 hour, 47 minutes, 16 sec      Citiem vārdiem sakot, mums ir jāveicina tā tirgus vide un viss pārējais, lai tie uzņēmumi būtu šeit, lai viņi veidotu
1:47:241 hour, 47 minutes, 24 sec      vērtību, lai viņi ražotu šeit. Man liekā ir vairāki rādītāji, kuri jau nu gan Baltijas ekonomisti pasaka, ka, nu, jā,
1:47:311 hour, 47 minutes, 31 sec      malači, Latvija, jūs tiešām esat pagājušajos divarus, trīs gados izdarījuši, nu, gandrīz neiespējamo.
1:47:391 hour, 47 minutes, 39 sec      Un, jo tās būs mazāk rūgtās zāles. Tātad mēs spēsim finansēt uz izaugsmes rēķina.
1:47:451 hour, 47 minutes, 45 sec      Un kas notiek tad, kad ir izaugsme? Tajā brīdī arī parādās tas, par ko visi daudz runā, bet
1:47:531 hour, 47 minutes, 53 sec      bieži vien ir tā, kad kas tas privātais kapitāls ir, kā viņu mobilizēt? Privāto kapitālu var mobilizēt tikai tad, ja tev
1:48:001 hour, 48 minutesir pirmais uzņēmējdarbības vide, kas strādā.
1:48:041 hour, 48 minutes, 4 sec      Otrais ir biznesa principos kaut kas strādājošs. Tātad ir tas sabiedrības jeb pasaules pieprasījums tiem produktiem.
1:48:121 hour, 48 minutes, 12 sec      Un varbūt tādēļ ar kaut kādām tādām, nu, politikām, es ne velti minēju, piemēram, par to
1:48:191 hour, 48 minutes, 19 sec      nosacīto veiksmi pret neveiksmi, kas ir ar zaļo pārnesi, ja, vai, vai, vai šīm politikām, tad, kad tas ir vajadzīgs,
1:48:281 hour, 48 minutes, 28 sec      tad, kad tam ir biznesa pamatojums, tad, kad tam ir visi šie apkārtējie apstākļi, tas notiek. Tad, kad sāk iztrūkt elementi, tad sāk slēgties iekšā sadaļa,
1:48:361 hour, 48 minutes, 36 sec      kurā ir publiskā finansējuma līdzdalība vajadzīga. Un tad ir jautājums, vai tiešām ar publiskā finansējuma līdzdalību mēs varam, kā saka, tos
1:48:441 hour, 48 minutes, 44 sec      zobratus iekustināt, jo, ja vēl viena lieta, ja visa pasaule jeb visa Eiropa
1:48:511 hour, 48 minutes, 51 sec      vai vai valstu grupa mēģina tos zobratus iekustināt vienādā veidā, tad mēs nonākam pie kā? Mēs nonākam pie tā, kas, piemēram, ir noticis ar litiju.
1:49:031 hour, 49 minutes, 3 sec      Atkarības veidojā no piegādātājiem.
1:49:061 hour, 49 minutes, 6 sec      ē, varu atkarības veidojas no piegādātājs, cenas dubultojā un tā tālāk, jo pamatā pasaulē viss,
1:49:141 hour, 49 minutes, 14 sec      tātad tas risinājums tiek skatīts, o, šitas izskatās lēti, šitas varētu būt biznesā balstīts, bet tad, kad visi sāk to darīt, vau, mēs esam laikam
1:49:231 hour, 49 minutes, 23 sec      nokavējuši pāris gadus. Tā kā ir jābūt ļoti elastīgai pieejai arī šī šajās politikās un jāpaskatās tiešām, kas tai
1:49:311 hour, 49 minutes, 31 sec      valstij, kas mums kā sabiedrībai ir tas ar to efektīvāko atdevi un to atdevi tādu, ka viņš nevis ķīlēs tos zobratus,
1:49:381 hour, 49 minutes, 38 sec      tai skaitā uzņēmējdarbības vidē, bet viņš viņus griezīs daudz straujāk.
1:49:431 hour, 49 minutes, 43 sec      Ilona, vēlos dot arī vārdu jums. Daudz tiek runāts šajā ziņojumā arī par funkciju pārklāšanos, par efektivizāciju, bet man šķiet, ka, nu,
1:49:501 hour, 49 minutes, 50 sec      tad 2020. gadā es strādāju Valsts kancelejas komunikācijas departamentā, ja toreiz bija, nu, stāsts, nu, ir jāoptimizē aparāts, un mēs esam tagad
1:49:591 hour, 49 minutes, 59 sec      pieci gadi uz priekšu, un joprojām mēs par to runājam. Kur realitātē ir tā iespēja efektivizēt tā reāli skatoties,
1:50:081 hour, 50 minutes, 8 sec      lai, nu, mēs nenogriežam griešanas pēc un beigu beigās kādas funkcijas, iespējams, no tā cieš?
1:50:151 hour, 50 minutes, 15 sec      Jā, labdien visiem. Un vispirms gribētu pateikt lielu paldies OECD kolēģiem par ziņojumu, par to, ka šajā ziņojumā ir
1:50:241 hour, 50 minutes, 24 sec      iekļauta īpaša sadaļa, kas ir veltīta analīzei par to, kā strādā mūsu publiskā pārvalde un kur ir iespējas efektivizēt publiskās pārvaldes turpmāko darbu.
1:50:371 hour, 50 minutes, 37 sec      Nu, mēs redzam, protams, ka šim jautājumam nedrīkst pieiet lineāri. Mums ir jāskatās un pastāvīgi jāpārskata gan
1:50:471 hour, 50 minutes, 47 sec      tās funkcijas, ko publiskā pārvalde veic, gan arī veids, kā šīs funkcijas translējas publiskajos pakalpojumos. Un mums ir jāpārskata mūsu publisko
1:50:551 hour, 50 minutes, 55 sec      pakalpojumu sniegšanas pieeja pēc lietotāju, atbilstoši lietotāju vajadzībām, atbilstoši mūsu mērķa grupu
1:51:031 hour, 51 minutes, 3 sec      vajadzībām. Ē, un, nu, jautājums ir, ē, vai mūsu publiskā pārvalde spēj šīs
1:51:111 hour, 51 minutes, 11 sec      reformas īstenot, ja, un, un ko, kas tad ir tie faktori, kas šo, kas šo spēju nosaka. Nu, es gribētu minēt četrus
1:51:191 hour, 51 minutes, 19 sec      tādus būtiskus faktorus, kas nosaka publiskās pārvaldes kapacitāti tādās
1:51:251 hour, 51 minutes, 25 sec      pārmaiņu virzībā un vadībā. Nu, viens ir skaidrs politiskais uzstādījums,
1:51:321 hour, 51 minutes, 32 sec      skaidrs, tātad praktiska, nevis teorētiska prioritāte un spēja pieņemt lēmumus. Nu, šajā gadījumā, šajā ziņā
1:51:401 hour, 51 minutes, 40 sec      mums ir viens labs piemērs, ko jau Juridis Miezaiņis tikko minēja, birokrātiskā sloga mazināšanas jautājumu
1:51:471 hour, 51 minutes, 47 sec      iepriekšējā valdībā. Birokrātiskā sloga mazināšana bija definēta kā viena skaidra prioritāte, kas lika un arī ļāva
1:51:561 hour, 51 minutes, 56 sec      visai valsts pārvaldei mobilizēties un īstenot ļoti konkrētus pasākumus, lai birokrātiskais loks mazinās gan
1:52:031 hour, 52 minutes, 3 sec      būvniecības jautājumos, gan iepirkuma jautājumos, kur mums šobrīd ir jauns likums, gan Eiropas Savienības fondu vadībā, dažādos ar uzņēmējdarbības, ar
1:52:121 hour, 52 minutes, 12 sec      uzņēmumu dibināšanu un attīstību saistītos jautājumus. Un tās es varētu turpināt saukt un saukt. Pēc būtības Valsts kancelejā
1:52:211 hour, 52 minutes, 21 sec      tiek apkopota visa tā informācija par birokrātiskā sloga mazināšanas pasākumiem, kas tika īstenoti. Un tas mums dod tādu skaidru pierādījumu tam,
1:52:291 hour, 52 minutes, 29 sec      ka, ja ir definēta skaidra politiska prioritāte kā kopīga valsts pārvaldes prioritāte, tad valsts pārvalde spēj
1:52:371 hour, 52 minutes, 37 sec      mobilizēties un spēj attiecīgi saskaņoti rīkoties, lai to īstenotu. Otrs būtiskais aspekts, ko es gribētu minēt,
1:52:451 hour, 52 minutes, 45 sec      ir administratīvā līmeņa līderība pārmaiņu procesos. Un te mans novērojums ir, strādājot pēdējos gadus Valsts
1:52:531 hour, 52 minutes, 53 sec      kancelejā un līdz šim sadarbojoties ar ar iestāžu vadītājiem, ir tāds, ka ir virkne
1:53:011 hour, 53 minutes, 1 secondiestāžu vadītāji, kuri vairs nav gatavi strādāt pēc līdzšinējiem spēles noteikumiem. Viņi vēlas mainīt savu iestāžu darba kultūru, līdzšinējās
1:53:091 hour, 53 minutes, 9 sec      sadarbības prakses un sasniegt labākus rezultātus. Un tāpēc arī vēršas Valsts kancelejā pēc atbalsta, lai tiešām
1:53:171 hour, 53 minutes, 17 sec      meklētu un atrastu iespējas šo darba kultūru, gan iekšējo darba kultūru, gan šo te klientu orientēto pieeju iedzīvinātu.
1:53:281 hour, 53 minutes, 28 sec      Ē, trešais jautājums ir mūsu valsts pārvaldes spēja rīkoties saskaņoti, pārvarēt fragmentāciju un, kā
1:53:371 hour, 53 minutes, 37 sec      žargonā varētu teikt, izkāpt no ierakumiem, jo mums ir 14 nozaru ministrijas, kur katrai ir sava nozares politika, savi resursi, savas intereses.
1:53:461 hour, 53 minutes, 46 sec      Nu, un mēs, protams, diezgan daudzu gadu garumā jau, nu, faktiski kopš arī es strādāju valsts pārvaldē, 20 gadu
1:53:541 hour, 53 minutes, 54 sec      garumā, es novēroju, kā mēs to deķīti katrs velkam uz savu pusi. Līdz ar to, nu, varētu teikt, ka šī mums ir drusciņ
1:54:011 hour, 54 minutes, 1 secondtāda kliba kāja, bet šajā gadījumā es gribētu akcentēt arī Valsts kancelejas lomu, lai atbalstītu ministriju spēju
1:54:111 hour, 54 minutes, 11 sec      risināt šos te pārnozaru jautājumus. Un tas, kas ministrijā, manuprāt, ir svarīgi, ir, lai būtu šī te vide, kur
1:54:181 hour, 54 minutes, 18 sec      šos jautājumus pārnozariskos risināt. Un tādā ziņā, man liekas, ļoti labs spēlētājs pēdējos gados ir bijusi Valsts kancelejas inovācijas laboratorija, jo
1:54:261 hour, 54 minutes, 26 sec      šī inovācijas laboratorija ir vieta, ir vide, ir metode, ir, ir arī cilvēki, kas, kas piedāvā iespēju sanākt kopā,
1:54:341 hour, 54 minutes, 34 sec      izkāpt no tiem saviem nozaru rāmjiem un risināt šos te kompleksos jautājumus. Un ceturtais aspekts, ko es gribētu
1:54:411 hour, 54 minutes, 41 sec      atzīmēt, ir valsts pārvaldes gatavība un spēja valsts pārvaldes procesus tiešām
1:54:481 hour, 54 minutes, 48 sec      pastāvīgi vērtēt un pārkārtot atbilstoši mērķa grupu vajadzībām, ja. Tātad šī te
1:54:551 hour, 54 minutes, 55 sec      sabiedrības intereses uzklausīšana, sadzirdēšana un ņemšana vērā publiskajā pārvaldē kļūst aizvien, aizvien
1:55:031 hour, 55 minutes, 3 sec      svarīgāka. Tas ir, protams, arī saistīts ar, un mums īpaši svarīgi arī, ņemot vērā mūsu zemos uzticēšanās rādītājus
1:55:111 hour, 55 minutes, 11 sec      gan valsts pārvaldei, gan politiķiem, politiskajām partijām, parlamentam, ja, tātad mums šis te uzticēšanās, uzticības
1:55:191 hour, 55 minutes, 19 sec      kredīts iestādēm un, un politiskajām organizācijām ir ļoti, ļoti zems šobrīd, un līdz ar to mums ir jādara viss
1:55:271 hour, 55 minutes, 27 sec      iespējams, iespējamais, lai šo te saikni ar sabiedrību atjaunotu.
1:55:321 hour, 55 minutes, 32 sec      Mhm. Jā. Arī vēlos vērsties pie jums šogad. Jā, ļoti izcelti ir veselības nozare, mūsu sabiedrības veselība un
1:55:401 hour, 55 minutes, 40 sec      kritiski arī pasvītrot mūsu, tai skaitā ilgdzīvotības rādītāju kontekstā ar pārējiem. Veselības joma bieži vien ir
1:55:471 hour, 55 minutes, 47 sec      tas tā vieta, kur reformām ir, iespējams, viena no lielākajām nozīmēm.
1:55:521 hour, 55 minutes, 52 sec      Kā šodien pārstāvot visu veselības nozari šeit uz uz šīs skatuves, kā raugāties uz OVCD rekomendācijām un kāda
1:56:001 hour, 56 minutesir tā, kā Ilie tā augsne arī pārmaiņām šobrīd?
1:56:051 hour, 56 minutes, 5 sec      Nu, pirmām kārtām es arī iesākšu ar to, ka paldies OS kolēģiem par par ziņojumu,
1:56:111 hour, 56 minutes, 11 sec      par tām lietām, kas tur ir aprakstītas attiecībā uz veselības nozarī dažbrīd skarbas, bet skaidrs, ka reālas. Un tas,
1:56:201 hour, 56 minutes, 20 sec      tas mums visiem jāapzinās. Un tā otrā lieta, ļoti labi, ka veselība arī šeit.
1:56:261 hour, 56 minutes, 26 sec      Es mēģināšu pārstāvēt visu to nozari, bet kāpēc, ja ne? Mēs runājam par to pašu izaugsmi kopumā, par prioritārām
1:56:351 hour, 56 minutes, 35 sec      jomām. Skaidrs, ka cilvēku kapitāls ir tas, kas ir ir bāze, ir pamats daudzām šīm lietām. Un un veselība ir
1:56:431 hour, 56 minutes, 43 sec      tā, kas būtiski arī ietekmē. Ē, attiecībā par pašām rekomendācijām, varbūt par tām lietām, ko mēs darām, par, par, par, par reformām.
1:56:531 hour, 56 minutes, 53 sec      Divas varbūt tādas ģenerālākas lietas.
1:56:561 hour, 56 minutes, 56 sec      Nu, viens atsaucoties arī uz, uz, uz Miezaiņa kungu uz to piemēru, ka skaidrs, ka ir lietas,
1:57:051 hour, 57 minutes, 5 sec      kuras mēs paši varbūt prioritizējam, virzām uz priekšu, ja, un tad tad tātad ir tā sasaiste ar OECD kolēģu
1:57:121 hour, 57 minutes, 12 sec      rekomendācijām, kuras virzām. Bet tā otra lielā lieta, skaidrs, ka mēs neesam izolēti, mēs nevaram vieni paši tās
1:57:191 hour, 57 minutes, 19 sec      lietas darīt. Un tas droši vien tas būtiskais uzsvars, ņemot vērā, ka caur veselību tas cilvēku kapitāls tomēr ietekmējas, ja, un līdz ar to arī
1:57:281 hour, 57 minutes, 28 sec      daudzas citas jomas, ja, nu, arī tām, tām, tām citām jomām, protams, ir jāiet uz uz uz veselību visās politikās, ja.
1:57:351 hour, 57 minutes, 35 sec      Tas ir tas, kas jāsaprot, ka, nu, katram tā, tā, tā sava daļa ir jāizdara. Un tas it sevišķi par tām rekomendācijām attiecas, protams, kas ir profilakses
1:57:441 hour, 57 minutes, 44 sec      jomā, kas ir veselības veicināšanas jomā. Ja mēs skatāmies uz dzīvesveida slimībām, teiksim tā, ja, uz tām
1:57:521 hour, 57 minutes, 52 sec      ietekmēm, sirds asinsvadu saslimšanas ir, ir, ir tas, kas, protams, ir numur viens joprojām nāves cēlonis. Un
1:58:001 hour, 58 minutesvislabākā profilakse, protams, ir, ja tiešām šīs dzīvesveida izvēles, tā kā, nu, kopumā arī skatoties no rekomendāciju viedokļa, no tā, ko mēs
1:58:071 hour, 58 minutes, 7 sec      darām kopā, virzot tos pašus akcīzes palielinājumus alkoholam, tabakai, kas te jau tika minēti, ja.
1:58:171 hour, 58 minutes, 17 sec      Droši vien var vēl vairāk. Tai pašā laikā, protams, kā teicu, neesam vieni tai, tai tai laukumā, ja. Skaidrs, ka jāņem vērā arī tās citas realitātes, par ko arī publiski komentāri varbūt bija iepriekšējās dienās.
1:58:291 hour, 58 minutes, 29 sec      Kustīgs dzīvesveids, kopējā tā veselību pratība arī arī izglītībā, teiksim, ja.
1:58:351 hour, 58 minutes, 35 sec      Nu, tas ir, tas ir varbūt tas viens lielais, lielais bloks. Attiecībā uz finansējumu. Atkal tā nu veselības
1:58:431 hour, 58 minutes, 43 sec      nozares runājot, diagnozi varbūt dzirdējām par nākošajiem gadiem, ja, bet, nu, atkal, jā, skaidrs, ka bez
1:58:511 hour, 58 minutes, 51 sec      tādiem ieguldījumiem, investīcijām cilvēku kapitālā, droši vien arī tās pārējās jomas
1:58:581 hour, 58 minutes, 58 sec      tik strauji nevarēs attīstīt. Un šeit, jāsaka, veselība ir bijusi prioritāte.
1:59:021 hour, 59 minutes, 2 sec      Tāpat atkal atgriežoties pie tām rekomendācijām, tas finansējums ir palielinājies arī, ja par to tiešām šaubu šaubu nav. Digitalizācija, kas jau
1:59:111 hour, 59 minutes, 11 sec      izskanēja, būtiska tēma, skaidrs arī, lai tādu kopēju efektivitāti caurskatāmību nozares nodrošinātu
1:59:211 hour, 59 minutes, 21 sec      datos lēmumuņ uzlabotu, tātad lēmumu pieņemšanu datos balstītu, ja, šīs lietas. Un, un, un te arī pēdējos gados,
1:59:291 hour, 59 minutes, 29 sec      es teiktu, ļoti liela, vienmēr gribas lielāka, vienmēr gribas ātrāk, bet tāpat ļoti liela izaugsme arī, ja, kas, kas, kas tiešām saskan ar šīm rekomendācijām.
